name,Berkshire Hathaway,ByteDance,OpenAI,Alibaba,Waymo,Databricks,Scale AI,Anthropic,Cerebras,Nscale,Mistral AI,Wayve,Physical Intelligence,UiPath,Celonis,YouTube,Cohere,MiniMax,Groq,ContentSquare,World Labs,Harvey,Perplexity,Multiverse Computing,AMI - Advanced Machine Intelligence,Babylon,Applied Intuition,5C,1X Technologies,AMD,Glean,PolyAI,ManoMano,Acronis,Einride,2CRSI,Y combinator,Parloa,BenevolentAI,Synthesia,Perplexity AI,01.AI,Aleph Alpha,Sidetrade,Shift Technology,Hailo Technologies,Black Forest Labs,RobCo GmbH,PhotoRoom,Exotec,DeepL,Oracle,Procore,Hugging Face,Sakana AI,Gousto,Text,Fal,Palantir,Owkin,Indium,Lightspeed,ARM Holdings,Adobe,H Company,Apollo,BuildOps,Clay,DentalMonitoring,Black Forest AI GmbH,Aqemia,Qualcomm,Appen,Qualified,Xelix,SiPearl,Cognism,Prophesee,Comand AI,Cambricon Technologies,Tessl,Nabla,PlanRadar,Ant Group
Berkshire Hathaway,0.0,0.73650753,0.8200183,0.90599555,0.87879616,0.8366207,0.7791164,0.76594174,0.8375794,0.84019387,0.71654606,0.81627524,0.85528797,0.6120757,0.75108063,1.0025089,0.8341482,0.8313509,0.88671964,0.96037245,0.925703,0.9140673,0.97391254,0.7527018,0.8040599,0.93967676,0.9514549,0.7943311,0.77879643,0.6587528,0.9483835,0.89993614,0.80760413,0.9195047,0.75796604,0.89101577,0.6186106,0.99059963,0.8534426,0.85565186,1.0401776,0.78910726,0.8015621,0.8176122,0.9520625,0.7292379,0.78418577,0.848925,0.9059944,0.82269216,0.9828856,0.7338896,0.94379973,0.68939567,0.8507172,0.91401774,1.0468991,1.0034062,0.69668216,0.93666977,0.93425965,0.9339293,0.71627486,0.9064267,0.7542418,0.91134065,0.7722278,0.8859087,1.1602156,0.7429248,0.93026495,0.9777369,0.7284806,0.79067445,0.69158196,0.7034377,0.8488399,0.9251528,0.77359813,0.92060685,0.70212585,0.69822,0.80510235,0.8420835
ByteDance,0.73650753,0.0,0.6405319,0.7221999,0.80025834,0.576492,0.71868515,0.5679489,0.6901482,0.74663234,0.70691156,0.64305186,0.6632972,0.6033217,0.68817925,0.71656203,0.5434394,0.6958708,0.65828574,0.627028,0.7751814,1.0171821,0.80407023,0.63046515,0.6640884,0.9098253,0.79476696,0.7300507,0.65946436,0.63484085,0.7886395,0.8120496,0.79798007,0.8399883,0.7603085,0.6813388,0.7339893,0.84185404,0.68006146,0.65792423,0.9182023,0.58213377,0.8295047,0.7631987,0.88481843,0.5816832,0.7489718,0.68379945,0.70020086,0.6874357,0.8396276,0.6574148,0.8467766,0.6642369,0.69965243,0.72988665,0.9898268,0.9001459,0.6989368,0.798084,0.8145531,0.76222193,0.6202188,0.7973806,0.787107,0.7613177,0.67306197,0.67269343,0.98200595,0.74675107,0.69633234,0.7339203,0.70734835,0.8137406,0.9363265,0.93549335,0.7811689,0.7428998,0.78673375,0.57687587,0.9473836,0.95698637,0.7736792,0.7263093
OpenAI,0.8200183,0.6405319,0.0,0.736901,0.7153574,0.57946044,0.44493115,0.30556494,0.5745564,0.61049426,0.3951981,0.50001085,0.46913248,0.49814695,0.5759338,0.75951886,0.6024577,0.5606557,0.5073153,0.72697234,0.49707752,0.73535216,0.5416896,0.600351,0.47971338,0.9355884,0.56670326,0.5508956,0.57758737,0.6190325,0.9702629,0.49855423,0.55426407,0.7840769,0.71823055,0.72337985,0.5472958,0.55021274,0.55857044,0.46008772,0.5229231,0.42510164,0.6150974,0.66479504,0.6339693,0.54150325,0.49019498,0.6206752,0.58412445,0.5387164,0.6182097,0.6179545,0.7164967,0.44355637,0.4330774,0.784353,0.9491739,0.83292806,0.54986274,0.5410812,0.7617575,0.5327075,0.6060444,0.6607368,0.5696963,0.6113708,0.68973184,0.57231116,0.755933,0.5256721,0.5351934,0.8349314,0.4870636,0.68123305,0.71382034,0.7016574,0.73604035,0.59975696,0.5640477,0.68566585,0.70579815,0.7175845,0.76631844,0.63383555
Alibaba,0.90599555,0.7221999,0.736901,0.0,0.84868383,0.6646212,0.6186905,0.6213535,0.67537665,0.7674689,0.79406637,0.73025703,0.7832367,0.73768777,0.73170036,0.6964518,0.7286993,0.5955812,0.57247007,0.75927556,0.8112043,0.87961763,0.8337161,0.87787485,0.7333354,1.018147,0.78856623,0.61225057,0.7690457,0.760039,1.0658835,0.7843802,0.74447954,0.8794564,0.78335,0.7776215,0.90563846,0.81965756,0.77476144,0.69738173,0.7699909,0.5618341,0.8061298,0.69609666,0.7689919,0.60001427,0.69443125,0.81859654,0.6896435,0.664415,0.8702535,0.72628486,0.7714471,0.5656765,0.6425803,0.8549143,0.96574944,0.7902236,0.8372202,0.85693467,0.7509723,0.6545231,0.68496835,0.69868135,0.64698946,0.6053376,0.7119696,0.7697078,0.98509264,0.67503357,0.7939313,0.7246206,0.5711601,0.8427017,0.7756813,0.7788829,0.75973785,0.84491396,0.71030986,0.6975366,0.7855892,0.77552664,0.8016354,0.40261406
Waymo,0.87879616,0.80025834,0.7153574,0.84868383,0.0,0.8243401,0.60351014,0.7334198,0.73278224,0.7089828,0.89159906,0.42042738,0.6954982,0.7474966,0.79726684,0.9587722,0.7037795,0.7224158,0.683664,0.70475376,0.62817955,0.7685902,0.67448384,0.9288324,0.7992751,0.9166237,0.54906386,0.78177416,0.69977003,0.8191681,1.0357097,0.70345443,0.59567267,0.70356417,0.65516543,0.7576172,0.8753332,0.8154329,0.72077596,0.74404514,0.72725165,0.73253125,0.6229297,0.6384835,0.6143545,0.8182515,0.7847564,0.65857923,0.79267716,0.6402159,0.7724456,0.9408835,0.85184866,0.63801575,0.8281108,0.7781044,0.95399356,0.80682814,0.7960655,0.69078904,0.6336552,0.60174644,0.7728613,0.84740007,0.72818655,0.7292213,0.78041357,0.73676944,0.82456684,0.66458154,0.7459224,0.83312553,0.69309413,0.87358296,0.8003564,0.80289304,0.8313909,0.76239157,0.6129675,0.79246986,0.80519503,0.7890317,0.73928225,0.82255423
Databricks,0.8366207,0.576492,0.57946044,0.6646212,0.8243401,0.0,0.526825,0.4086491,0.6287725,0.6336795,0.5820025,0.6657029,0.6096677,0.7068435,0.68264186,0.744944,0.5108138,0.65771914,0.6173475,0.6144461,0.59037054,0.819623,0.71406734,0.69809216,0.60236084,0.94553727,0.75857425,0.4843709,0.65500605,0.737817,0.98252004,0.73247874,0.7170477,0.8678851,0.75146973,0.6482154,0.6416622,0.74673676,0.7225106,0.6868123,0.7833569,0.61350787,0.81375897,0.6720022,0.7420105,0.62679297,0.59187746,0.71085644,0.5584223,0.69320214,0.68444896,0.45808536,0.6245021,0.47337854,0.6320142,0.88757885,0.99071753,0.89242446,0.61500835,0.65090084,0.6609703,0.5787852,0.6432589,0.7524537,0.69822574,0.6811434,0.6074843,0.5429417,0.9477759,0.5922691,0.69795454,0.8814476,0.64563453,0.7591647,0.76854384,0.7626096,0.6672472,0.67832553,0.6278597,0.7753422,0.76827395,0.77467895,0.5874834,0.7598964
Scale AI,0.7791164,0.71868515,0.44493115,0.6186905,0.60351014,0.526825,0.0,0.3799551,0.4769042,0.46800053,0.49552017,0.44918054,0.43632293,0.41704792,0.5630111,0.8494872,0.5938568,0.50037396,0.4108339,0.7210504,0.39851964,0.60826355,0.5239911,0.71333355,0.38904482,0.88830215,0.55422807,0.38902736,0.58258367,0.48754638,1.0019716,0.54032826,0.25684053,0.7146251,0.58126473,0.61564714,0.5288869,0.7025115,0.56533134,0.5115813,0.5037743,0.43717712,0.5240507,0.5428095,0.44815296,0.49196643,0.51748985,0.48658872,0.4948203,0.5561142,0.7240311,0.57273364,0.60230696,0.16047287,0.4672941,0.8251756,0.86646,0.76111263,0.5579522,0.43472975,0.537499,0.43208683,0.46515083,0.60747623,0.5064788,0.4813556,0.5952543,0.51662207,0.68236065,0.5146389,0.56712115,0.86896604,0.33673072,0.6922693,0.51502764,0.5036309,0.6247016,0.4656282,0.39559948,0.67058694,0.49966222,0.5031966,0.6627115,0.6216702
Anthropic,0.76594174,0.5679489,0.30556494,0.6213535,0.7334198,0.4086491,0.3799551,0.0,0.4854825,0.5057907,0.46711528,0.49953043,0.47226995,0.48778403,0.5347999,0.74140406,0.55976504,0.5307015,0.5273335,0.7159209,0.46973377,0.6968603,0.5861671,0.5229912,0.39733022,0.85909975,0.6642356,0.46484554,0.5857512,0.5456306,0.98031175,0.6258996,0.5311634,0.75298935,0.65703046,0.65127707,0.44571453,0.7300451,0.57908463,0.5384952,0.64597094,0.4026783,0.55580044,0.6891712,0.67164767,0.5325034,0.47312343,0.64435226,0.5554328,0.6532248,0.640522,0.4891832,0.633669,0.31101584,0.47194362,0.7828213,1.0098537,0.83254766,0.51660824,0.56280386,0.7195232,0.5180827,0.49727517,0.5806834,0.5604131,0.6148523,0.6222855,0.6085887,0.87689626,0.49156696,0.6022594,0.8618594,0.477086,0.7035401,0.6565112,0.6400808,0.69441485,0.5539705,0.5266571,0.65385664,0.6388135,0.6505773,0.6374032,0.5669087
Cerebras,0.8375794,0.6901482,0.5745564,0.67537665,0.73278224,0.6287725,0.4769042,0.4854825,0.0,0.43559623,0.54361993,0.5929102,0.46321505,0.5735315,0.32574826,0.95005244,0.6955225,0.66100603,0.45458084,0.8147604,0.56939757,0.7070902,0.64208066,0.57277894,0.4418854,1.0196855,0.7611171,0.5527587,0.5820061,0.46559906,0.9922185,0.63026476,0.58286405,0.6829269,0.72232914,0.58567715,0.6784587,0.75921386,0.61622006,0.57530797,0.711705,0.58761966,0.709519,0.7616352,0.7173488,0.5555268,0.5300894,0.62026227,0.66976464,0.61725223,0.82731324,0.5852705,0.70610476,0.44530743,0.4822498,0.9417725,0.90803343,0.7451254,0.5131288,0.609071,0.7647333,0.6591948,0.4400804,0.64241785,0.60155463,0.6675629,0.67768455,0.76273155,0.9363605,0.5771453,0.60863346,0.7228749,0.6004716,0.8432717,0.74394095,0.7350106,0.73700356,0.50742775,0.5460137,0.58233595,0.7444718,0.7315236,0.7707309,0.6346078
Nscale,0.84019387,0.74663234,0.61049426,0.7674689,0.7089828,0.6336795,0.46800053,0.5057907,0.43559623,0.0,0.6100837,0.65704584,0.5200565,0.64511317,0.6656817,0.87360644,0.70018935,0.62878263,0.53147495,0.7538835,0.4552598,0.86776173,0.72172135,0.5704495,0.44685012,0.87071526,0.78596604,0.51113373,0.6181547,0.6070558,0.9146943,0.6827202,0.56885934,0.7662496,0.89099187,0.5884688,0.6092864,0.8338423,0.7011678,0.6751373,0.7836479,0.66851425,0.6532726,0.7428597,0.7367983,0.5747549,0.5500144,0.7260073,0.6323987,0.7367245,0.72891986,0.65526974,0.7235896,0.37791634,0.58594584,0.80678767,0.8345649,0.82255626,0.5930878,0.5851054,0.7816251,0.58249426,0.5701172,0.6672606,0.6827177,0.6392784,0.6881948,0.678356,0.87162983,0.61115074,0.67784536,0.72024286,0.6565783,0.788923,0.64460593,0.63642275,0.6177505,0.5180504,0.5828372,0.7271962,0.6324012,0.6341021,0.7831025,0.76828694
